Sentence,Readability,aldi_score,aldi_label,ags_score,ags_label
مجلة كل الأولاد وكل البنات,7,0.005406,low,0.853826,high
ماجد,1,0.006376,low,0.847460,high
الأربعاء 21 يناير 1987,8,0.000000,low,0.819772,high
الموافق 21 جمادى الأول 1407ه,7,0.007530,low,0.618244,mid
السنة الثامنة,5,0.000000,low,0.587335,mid
العدد 413,5,0.002237,low,0.577202,mid
الثمن درهمان,5,0.094035,low,0.325897,low
عصابة الخمسة . . والمستحيلات الثلاثة,6,0.000000,low,0.420501,mid
قصة كاملة . .,2,0.000000,low,0.402258,mid
صفحة ( 5 ),2,0.000000,low,0.830830,high
نستقبلك بابتسامة,10,0.017959,low,0.501935,mid
أكيد السحاب عنده رشح ! !,7,0.372924,mid,0.326264,low
مفاجآت العام الجديد,5,0.000000,low,0.630456,mid
المفاجأة الثانية,6,0.000000,low,0.470978,mid
"في الأعوام السابقة , كنا نكتب عن هواية واحدة , هي هواية جمع طوابع البريد . .",10,0.017128,low,0.767192,high
"ورغم اقتناعي بأهمية هذه الهواية وفائدتها الثقافية بالنسبة للأصدقاء , إلا أنه كان من الضروري إعطاء اهتمام بالهوايات الأخرى التي يمارسها الأولاد والبنات .",12,0.000000,low,0.499500,mid
وللحقيقة فإن أصدقاء ماجد هم أصحاب الفضل في ذلك .,10,0.000000,low,0.574762,mid
"ومع بداية العام التاسع للمجلة , سوف أخصص ثلاث صفحات كاملة للهوايات .",8,0.016772,low,0.477770,mid
من الهوايات الجديدة التي سوف أكتب عنها هواية الرياضة .,10,0.000000,low,0.555555,mid
"وكما تعلمون فإن الصحف تخصص صفحات يومية للحديث عن الرياضة , وعن أخبار المباريات .",10,0.000000,low,0.495480,mid
لن أدخل في منافسة معها .,8,0.000000,low,0.409739,mid
سوف أقدم في هذا الباب مواد جديدة .,8,0.000000,low,0.469751,mid
ولنترك الحديث عنها الآن لتقرأوها بأنفسكم على صفحات ماجد وتحكموا عليها .,8,0.000000,low,0.285518,low
ومن الهوايات التي سأهتم بها أيضا هواية جمع العملات .,10,0.000000,low,0.548514,mid
"ورغم أنها هواية غير منتشرة في الوطن العربي , إلا أن هناك الكثيرين ممن يهتمون بها .",12,0.000000,low,0.576968,mid
باب الهوايات الجديد . . هو ثاني المفاجآت .,11,0.003627,low,0.660177,high
أما المفاجأة الثالثة فسوف أتحدث عنها في الأسبوع القادم بإذن الله .,8,0.000000,low,0.267558,low
"مع محبتي , , ,",7,0.021245,low,0.731512,high
ماجد,1,0.006376,low,0.847460,high
بين ماجد وأصدقائه,7,0.000000,low,0.824747,high
هنا يلتقي ماجد كل أسبوع بأصدقائه,7,0.000215,low,0.536480,mid
يرد على أسئلتهم واستفساراتهم,7,0.030261,low,0.407432,mid
مبادلة,5,0.019721,low,0.300819,low
"• أمتلك مجموعة من طوابع البريد , وبطاقات المسابقة الكبرى رقم ( 8 ) بالإضافة إلى العديد من المجلات . .",10,0.000000,low,0.536774,mid
وأود مبادلتها جميعا بكتابي كسلان جدا . .,8,0.000965,low,0.205722,low
حول العالم . .,7,0.000000,low,0.764230,high
وكسلان جدا والأسد .,8,0.044170,low,0.360911,mid
