Sentence,Readability,source,type,readability_confidence,aldi_score,aldi_label,ags_score,ags_label
مجلة كل الأولاد وكل البنات,7,barec,,1.0,0.005406,low,0.853826,high
ماجد,1,barec,,1.0,0.006376,low,0.84746,high
الأربعاء 21 يناير 1987,8,barec,,1.0,0.0,low,0.819772,high
الموافق 21 جمادى الأول 1407ه,7,barec,,1.0,0.00753,low,0.618244,mid
السنة الثامنة,5,barec,,1.0,0.0,low,0.587335,mid
العدد 413,5,barec,,1.0,0.002237,low,0.577202,mid
الثمن درهمان,5,barec,,1.0,0.094035,low,0.325897,low
عصابة الخمسة . . والمستحيلات الثلاثة,6,barec,,1.0,0.0,low,0.420501,mid
قصة كاملة . .,2,barec,,1.0,0.0,low,0.402258,mid
صفحة ( 5 ),2,barec,,1.0,0.0,low,0.83083,high
نستقبلك بابتسامة,10,barec,,1.0,0.017959,low,0.501935,mid
أكيد السحاب عنده رشح ! !,7,barec,,1.0,0.372924,mid,0.326264,low
مفاجآت العام الجديد,5,barec,,1.0,0.0,low,0.630456,mid
المفاجأة الثانية,6,barec,,1.0,0.0,low,0.470978,mid
"في الأعوام السابقة , كنا نكتب عن هواية واحدة , هي هواية جمع طوابع البريد . .",10,barec,,1.0,0.017128,low,0.767192,high
"ورغم اقتناعي بأهمية هذه الهواية وفائدتها الثقافية بالنسبة للأصدقاء , إلا أنه كان من الضروري إعطاء اهتمام بالهوايات الأخرى التي يمارسها الأولاد والبنات .",12,barec,,1.0,0.0,low,0.4995,mid
وللحقيقة فإن أصدقاء ماجد هم أصحاب الفضل في ذلك .,10,barec,,1.0,0.0,low,0.574762,mid
"ومع بداية العام التاسع للمجلة , سوف أخصص ثلاث صفحات كاملة للهوايات .",8,barec,,1.0,0.016772,low,0.47777,mid
من الهوايات الجديدة التي سوف أكتب عنها هواية الرياضة .,10,barec,,1.0,0.0,low,0.555555,mid
"وكما تعلمون فإن الصحف تخصص صفحات يومية للحديث عن الرياضة , وعن أخبار المباريات .",10,barec,,1.0,0.0,low,0.49548,mid
لن أدخل في منافسة معها .,8,barec,,1.0,0.0,low,0.409739,mid
سوف أقدم في هذا الباب مواد جديدة .,8,barec,,1.0,0.0,low,0.469751,mid
ولنترك الحديث عنها الآن لتقرأوها بأنفسكم على صفحات ماجد وتحكموا عليها .,8,barec,,1.0,0.0,low,0.285518,low
ومن الهوايات التي سأهتم بها أيضا هواية جمع العملات .,10,barec,,1.0,0.0,low,0.548514,mid
"ورغم أنها هواية غير منتشرة في الوطن العربي , إلا أن هناك الكثيرين ممن يهتمون بها .",12,barec,,1.0,0.0,low,0.576968,mid
باب الهوايات الجديد . . هو ثاني المفاجآت .,11,barec,,1.0,0.003627,low,0.660177,high
أما المفاجأة الثالثة فسوف أتحدث عنها في الأسبوع القادم بإذن الله .,8,barec,,1.0,0.0,low,0.267558,low
"مع محبتي , , ,",7,barec,,1.0,0.021245,low,0.731512,high
ماجد,1,barec,,1.0,0.006376,low,0.84746,high
بين ماجد وأصدقائه,7,barec,,1.0,0.0,low,0.824747,high
هنا يلتقي ماجد كل أسبوع بأصدقائه,7,barec,,1.0,0.000215,low,0.53648,mid
يرد على أسئلتهم واستفساراتهم,7,barec,,1.0,0.030261,low,0.407432,mid
مبادلة,5,barec,,1.0,0.019721,low,0.300819,low
"• أمتلك مجموعة من طوابع البريد , وبطاقات المسابقة الكبرى رقم ( 8 ) بالإضافة إلى العديد من المجلات . .",10,barec,,1.0,0.0,low,0.536774,mid
وأود مبادلتها جميعا بكتابي كسلان جدا . .,8,barec,,1.0,0.000965,low,0.205722,low
حول العالم . .,7,barec,,1.0,0.0,low,0.76423,high
وكسلان جدا والأسد .,8,barec,,1.0,0.04417,low,0.360911,mid
أحمد خميس محمد,3,barec,,1.0,0.0,low,0.937926,high
بيادر وادي السير - الأردن - ص .,7,barec,,1.0,0.088435,low,0.373277,mid
ب 141242,8,barec,,1.0,0.333188,mid,0.665015,high
• • بدون تعليق,4,barec,,1.0,0.0,low,0.534331,mid
سؤال يحيرني,5,barec,,1.0,0.248446,low,0.268271,low
ما المقصود بدول عدم الانحياز ؟,12,barec,,1.0,0.0,low,0.563738,mid
صالح محسن القرين,3,barec,,1.0,0.009383,low,0.576186,mid
كريتر - اليمن الديمقراطية,12,barec,,1.0,0.023281,low,0.539207,mid
"• • "" عدم الانحياز "" اصطلاح سياسي يعنى الحياد . .",14,barec,,1.0,0.0,low,0.547341,mid
حيث تلتزم الدول غير المنحازة بعدم الارتباط بأي دول أجنبية في الشرق أو الغرب .,14,barec,,1.0,0.0,low,0.509897,mid
وهذا الحياد يتميز بأنه حياد إيجابي . .,12,barec,,1.0,0.0,low,0.503396,mid
